Designator,Mid X,Mid Y,Rotation,Layer
R34,64.7,-111.604,90.0,top
R36,96.0,-94.0,180.0,top
R37,113.5,-105.0,180.0,top
R39,48.514,-111.972,90.0,top
R4,128.73,-62.738,270.0,top
R40,49.404,-107.814,0.0,top
R41,64.528,-100.966,90.0,top
R42,65.396,-96.708,0.0,top
R45,99.6188,-107.0,180.0,top
R46,117.0,-96.0,180.0,top
R48,50.8,-111.4,90.0,top
R49,66.814,-100.458,90.0,top
R5,53.5148,-79.1112,0.0,top
R51,99.6188,-105.0,180.0,top
R52,117.0,-94.0,180.0,top
R54,50.528,-100.93,90.0,top
R55,51.452,-96.672,0.0,top
R56,69.514,-112.108,90.0,top
R57,70.47,-107.85,0.0,top
R58,103.0,-96.0,180.0,top
R59,120.5,-107.0,180.0,top
R6,49.668,-57.19,270.0,top
R60,52.814,-100.358,90.0,top
R61,71.8,-111.6,90.0,top
R62,103.0,-94.0,180.0,top
R63,120.5,-105.0,180.0,top
R64,55.414,-112.048,90.0,top
R65,56.326,-107.79,0.0,top
R66,71.528,-100.966,90.0,top
R67,72.418,-96.708,0.0,top
R68,106.5,-107.0,180.0,top
R69,124.0,-96.0,180.0,top
R7,51.7,-57.19,270.0,top
R70,57.7,-111.54,90.0,top
R71,73.814,-100.458,90.0,top
R72,106.5,-105.0,180.0,top
R73,124.0,-94.0,180.0,top
R74,79.132,-55.028,270.0,top
R75,77.1,-55.028,90.0,top
R76,75.032,-55.01,270.0,top
R77,73.0,-55.01,90.0,top
R78,70.932,-55.01,270.0,top
R79,68.9,-55.01,90.0,top
R8,50.63692,-75.634,90.0,top
R80,66.832,-55.01,270.0,top
R81,64.8,-55.01,90.0,top
R9,41.514,-112.008,90.0,top
S1,51.1048,-83.2612,0.0,top
U1,96.52,-67.634,90.0,top
U2,127.762,-54.986,180.0,top
U3,100.254,-79.326,90.0,top
U4,43.5,-51.2,270.0,top
U5,49.497996,-66.002,90.0,top
Y1,47.64092,-75.45,270.0,top
